CaseStudyId,Sentence,SentenceAttention,SentenceAttentionStd,Prediction,Label
546,"The project resulted in an exhibition at the Playhouse in London/Derry as part of the TJI Summer School (June 2010) which had 35 participants, and a collective art exhibition at the collaborative Summer School with Hanna's House (August 2010), which had 100 participants and enabled knowledge exchange with local and international NGO and policy cohort.",0.20654746741056443,0.1110715365824156,0.12179070115089416,4.0
546,TJI engaged in this project at all stages: The project began through a series of preliminary conversations throughout 2010 between TJI scholar Rooney and Bridge of Hope leading to a TJ Pilot Programme funded by the Community Relations Council.,0.05190739035606384,0.01802271033878895,0.12179070115089416,4.0
546,Research Context The thirty years of conflict in NI created a deep and divisive legacy with which NI society continues to grapple daily.,0.03811965882778168,0.0041302613715461225,0.12179070115089416,4.0
546,This project revealed how the conflict's legacy continues to impact on the lives of marginalised youth.,0.03245120644569397,0.010754994992286332,0.12179070115089416,4.0
546,Duffy sought to give voice to these young persons who live in post-conflict Belfast by working with them on storytelling and collaborative self-portraits.,0.030810918658971786,0.010648973207424335,0.12179070115089416,4.0
546,This case study draws on a sample of three interfaces from our broader scholarly and policy praxis in NI.,0.028860895708203316,0.021210387069879925,0.12179070115089416,4.0
546,Collaboration with Renowned NI Artist Rita Duffy: TJI has an established practice of having an artist in residence at the Institute (e.g. Turner & McLaughlin).,0.02773808129131794,0.01840227524215718,0.12179070115089416,4.0
546,"TJI worked with the Bridge of Hope programme of the Ashton Community Trust that supports conflict victims and is based in one of the most divided and volatile communities in NI to produce an internationally recognised participatory model for grassroots TJ, which is now being disseminated by TJI.",0.026155394315719605,0.009540306936054335,0.12179070115089416,4.0
546,Duffy held workshops at the Quaker Cottage three evenings per week with young people from areas that are divided by peace walls.,0.02506954371929169,0.007621144908032212,0.12179070115089416,4.0
546,"TJI researchers were engaged in all stages of the project from initial project design, conceptualisation, implementation to dissemination: TJI fostered an intensive nine-month dialogue with Duffy on the experience of children, ex- combatants and women (2009-10) drawing on published work and work in progress by TJI scholars.",0.021447166800498962,0.005560476595460759,0.12179070115089416,4.0
546,"It explicitly built on the TJI `@thecoalface' seminar series Rooney designed and delivered a residential programme in March 2011 for former combatants that brought TJI's scholarly inputs on truth, institutional reform, reparations, reconciliation, and amnesty into direct engagement with community activists at the coal face of transitional processes.",0.020658958330750467,0.005806006037319454,0.12179070115089416,4.0
546,"This project demonstrates praxis research at its most ambitious, combining academic knowledge with broader social and artistic media, to reach the general public to change the way communities `see' the conflict and thus respond to legal and political initiatives.",0.02058298047631979,0.005333155111101586,0.12179070115089416,4.0
546,The underpinning research is unique in its translation of high-level theorising enmeshed in the practical realities and experiences of community-level application.,0.02026526639238,0.016149766199720396,0.12179070115089416,4.0
546,"TJI's collaboration with Rita Duffy, one of NI's leading contemporary artists, stretched knowledge transfer and broader social impact boundaries.",0.019030148349702358,0.007173485071634641,0.12179070115089416,4.0
546,"Following the formal completion of the project, the relationship with the artist has been sustained and she has presented seminars at TJI.",0.01821294128894806,0.009671006727691802,0.12179070115089416,4.0
546,"In September 2010, a huge public campaign was launched involving the displaying the young persons' photographic self-portraits on billboards in the centre of Belfast bringing attention to a group of young people as an illustration of how the `past' of the conflict was ever present.",0.015442286804318427,0.008550935279810294,0.12179070115089416,4.0
