Fold,Case ID,Sentence,Sentence Attention Weight,Prediction,Label
fold_4,941," Drs Peppiatt-Wildman & Wildman have developed novel models to investigate kidney and bladder function and drug action, through visualisation of cellular events in live tissue.",0.021210258826613426,0.8969098925590515,0
fold_4,941,"This has had an immediate impact on research in the Pharmaceutical Industry, resulting in collaborative links with Pfizer USA and Biogen Idec, and significant investment by Pfizer on the application of kidney models in the development of novel lead candidate drugs for the treatment of kidney disease.",0.007723059970885515,0.8969098925590515,0
fold_4,941,"In addition, imaging of live bladder tissue, adapted for bedside application, has altered clinical practice in continence and nephrology clinics in NHS Trusts. 
 ",0.017483847215771675,0.8969098925590515,0
fold_4,941,"Current methods for assessing kidney and bladder function in health and disease are limited by a lack of appropriate technology and methodology, relying on crude in vitro systems and post-hoc measurements such as cell necrosis in patient biopsies.",0.015877708792686462,0.8969098925590515,0
fold_4,941,"These limitations have significantly hampered the ability of physiologists and clinicians to better understand basic urinary system physiological function, processes occurring in the onset and progression of disease or in response to drug-toxicity, all of which pose a real and significant clinical problem.",0.012178855016827583,0.8969098925590515,0
fold_4,941,"The onset of this work was facilitated by a Career Development Award to Peppiatt-Wildman by the MRC, one of the 9% of projects funded that year (£1.2 million, 2007, transferred to Kent in 2012), and a number of `linked' project grants by the Wellcome Trust in 2008, one of which was awarded to Wildman.",0.037822697311639786,0.8969098925590515,0
fold_4,941,"Since 2008, initially at the Royal Veterinary College in London and latterly, here at Medway School of Pharmacy (MSOP), Peppiatt-Wildman and Wildman's research groups (collectively the Urinary System Physiology Unit) have focused on identifying and validating novel experimental models and methodologies.",0.017370404675602913,0.8969098925590515,0
fold_4,941,"Wildman's group moved to MSOP in 2011 and Peppiatt-Wildman's in 2012 and, since moving, have been supported by further funding awards from the Wellcome Trust, BBSRC, MRC and Kidney Research UK for their research.",0.024093402549624443,0.8969098925590515,0
fold_4,941,"The work at MSOP has led to advanced imaging of live ex vivo kidney slices, isolated perfused kidneys, human bladder biopsies, and urinalysis and implementing these to: i) advance the understanding of basic physiological processes in the kidney and bladder ii) delineate the mechanisms underlying kidney dysfunction, whether in the context of renal disease or drug-induced nephrotoxicity iii) provide industrial partners with an established experimental (screening) model that represents a new tool/approach for identification of novel drug-target sites for new or existing therapies iv) provide clinicians with `better' urinalysis, primarily bedside tests, to facilitate diagnosis and more informed treatment strategies.",0.01818341761827469,0.8969098925590515,0
fold_4,941,"Application of the live ex vivo (and in vivo) kidney, live in vitro bladder models and urinalysis, in combination with advanced imaging approaches (e.g. multiphoton imaging of multiple readouts of cell function) have enabled the group to demonstrate preserved vascular, tubular, smooth muscle and urothelial, function in kidney and bladder models, which is representative of the in vivo setting, thus validating the models (3.1).",0.014035563915967941,0.8969098925590515,0
fold_4,941,"The primary, defining, paper describing the methodology for live kidney slices (3.1) originated from Peppiatt-Wildman at MSOP and was recognised by the Faculty of 1000 as being of special significance in its field.",0.01863485388457775,0.8969098925590515,0
fold_4,941,"In subsequent research, these models have been used to: i) define novel regulatory mechanisms of blood flow control in the kidney i.e. pericyte-mediated regulation of renal medullary blood flow at the capillary level ii) demonstrate tubulovascular and neurovascular cross-talk in the kidney (3.2, 3.3, 3.4), iii) demonstrate an infectious component to a significant subset of overactive bladder (OAB) patients (which is now informing the clinical definition of OAB), and iv) gain a better understanding of recurrent urinary tract infections (UTIs) in renal transplant patients, whilst proposing a superior diagnostic test for UTIs in this sensitised and vulnerable cohort (3.5). 
 ",0.02137666568160057,0.8969098925590515,0
