Fold,Case ID,Sentence,Attention Weight,Prediction,Label
fold_3,85," This case study demonstrates how Timothy Brittain-Catlin's long-term research into a group of historic buildings sharing a common theme, and designed by underappreciated architects, has had wide-ranging impacts on various groups.",0.023580612614750862,0.12780846655368805,0
fold_3,85,"These groups include general audiences; amenity societies; architectural historians; heritage and conservation enthusiasts; and, in turn, public bodies including planning authorities and government agencies.",0.00510955136269331,0.12780846655368805,0
fold_3,85,"The impacts of this important research range from informing cultural understanding amongst general audiences to directly influencing policy decisions about the preservation of historic buildings. 
 ",0.01014751847833395,0.12780846655368805,0
fold_3,85,"Since Brittain-Catlin joined Kent School of Architecture as Lecturer (subsequently Senior Lecturer) in 2007 his research, under the general title of `The reputation of architects at times of change', has been directed towards changes in architectural practice at various historical moments in Britain: the 1830-1840s, the post-First World War era, and the post-Second World War era.",0.009049276821315289,0.12780846655368805,0
fold_3,85,"A common theme has been the way in which architects were required to keep up with both stylistic and professional changes, or face loss of reputation or livelihood.",0.0016617549117654562,0.12780846655368805,0
fold_3,85,"Key insights deriving from research, which have developed and guided impact, include: 1) the long-term cultural value of some architects' work has been undermined by the traditional methodologies of architectural history and are underprotected statutorily.",0.009349413216114044,0.12780846655368805,0
fold_3,85,"2) some significant sources of research have up to now been missed by researchers (for example, the parsonage mortgage files in diocesan archives, and personal archives held by some twentieth-century architects).",0.001501905731856823,0.12780846655368805,0
fold_3,85,"3) the value of aspects of architectural practice change at certain historical periods, so that hidden qualities can be appreciated best by later audiences.",0.0025440845638513565,0.12780846655368805,0
fold_3,85,The research was undertaken mainly in the form of archival and site research.,0.009427768178284168,0.12780846655368805,0
fold_3,85,"Research for The English Parsonage in the Early Nineteenth Century [ref 3.1], completed during 2008, consisted of finding, reviewing and analysing drawings and documents relating to parsonage mortgage applications made by incumbents in the Church of England to church mortgage givers.",0.014995249919593334,0.12780846655368805,0
fold_3,85,"This process revealed how the gothic revival spread across English domestic architecture and how some architects faced loss of reputation, a phenomenon subsequently developed by Brittain-Catlin in his role as editor of the peer-review journal of The Pugin Society",0.0012023235904052854,0.12780846655368805,0
fold_3,85,[3.6].,0.014972074888646603,0.12780846655368805,0
fold_3,85,A second phase of research was carried out during 2008-09 and consisted mainly of reviewing material in the Lloyds Banking Group Archives.,0.006843134295195341,0.12780846655368805,0
fold_3,85,This material related to the career of Horace Field as architect of a series of influential bank branches.,0.001745959627442062,0.12780846655368805,0
fold_3,85,"The course of Field's career, and especially its downward trajectory, was then described in `Horace Field and Lloyds Bank', a detailed account of Field's work for the bank that was published in Architectural History in 2010 [3.3]; and `Downward trajectory: towards a theory of failure' (ARQ, 2011)",0.0016797244315966964,0.12780846655368805,0
fold_3,85,"[3.5], which uses the overall pattern of Field's career, beyond his bank work, as a way of suggesting alternative interpretations of `unsuccessful' architects.",0.0018421708373352885,0.12780846655368805,0
fold_3,85,"During 2009-10 Brittain-Catlin concentrated on the career of the British post-Second World War modernist architects Leonard Manasseh & Partners, specifically for a book in the RIBA / English Heritage / Twentieth Century Society series on modern British architects",0.019121313467621803,0.12780846655368805,0
fold_3,85,"[3.4, 5.10], but also to see how historical patterns in architects' professional reputations continue up to the present day.",0.001395524013787508,0.12780846655368805,0
fold_3,85,"There was no conventional surviving archive for these architects, and Brittain-Catlin's research took the form of amassing material from private collections, from interviews, and from visits to various sources.",0.0030692878644913435,0.12780846655368805,0
fold_3,85,"Brittain-Catlin's current research focuses on the interwar Thanet architect Edgar Ranger, and he has recently completed a book on the subject of undervalued architects, to be published by The MIT Press in March 2014. 
 ",0.015515719540417194,0.12780846655368805,0
fold_3,85,"This case study presents examples of how research into underappreciated architects and their buildings has resulted in wide-ranging impacts, including enhancing public understanding and informing practical decisions by professionals, activists and public bodies responsible for evaluating and protecting historic architecture.",0.01871717907488346,0.12780846655368805,0
fold_3,85,"1 REACH: the diffusion of the findings through research to new audiences: Effective audience development in this field relies on a long period of gestation before impact can be claimed, since amenity societies and public agencies take into account demonstrable public interest over a period of time when taking decisions.",0.010644860565662384,0.12780846655368805,0
fold_3,85,Brittain-Catlin is one of Britain's most widely published architectural commentators.,0.004115027375519276,0.12780846655368805,0
